"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경기도 부천시 고강동","409-1","0409","0001","가야","43.94","202101","25","12,000","5","1989","고리울로64번길 7",""
"경기도 부천시 고강동","409-1","0409","0001","가야","48.87","202101","26","13,800","4","1989","고리울로64번길 7",""
"경기도 부천시 고강동","307","0307","0000","건우","48.18","202101","29","17,900","3","1986","역곡로455번길 60",""
"경기도 부천시 고강동","307","0307","0000","건우","48.9","202102","17","18,000","3","1986","역곡로455번길 60",""
"경기도 부천시 고강동","307","0307","0000","건우","48.18","202102","22","18,000","2","1986","역곡로455번길 60",""
"경기도 부천시 고강동","307","0307","0000","건우","48.9","202103","25","18,500","4","1986","역곡로455번길 60",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","47.7","202101","14","15,700","3","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","71.46","202101","20","26,000","4","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","44.73","202101","23","15,900","4","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","71.46","202101","24","27,000","1","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","44.73","202102","1","17,000","2","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","47.7","202102","24","17,000","1","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","44.73","202102","25","16,000","1","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","47.7","202103","2","17,800","4","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","71.46","202103","10","26,800","4","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","44.73","202103","24","16,500","1","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-2","0246","0002","고강1차","44.73","202103","27","16,000","3","1985","고강로170번길 19-4",""
"경기도 부천시 고강동","246-5","0246","0005","고강2차","56.61","202101","16","19,400","3","1986","고강로154번길 37",""
"경기도 부천시 고강동","246-5","0246","0005","고강2차","47.7","202103","8","15,300","3","1986","고강로154번길 37",""
"경기도 부천시 고강동","249","0249","0000","고강3차","43.2","202101","3","13,300","5","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","43.2","202101","4","15,000","3","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","59.4","202101","20","20,000","3","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","56.7","202101","21","18,300","2","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","43.2","202102","1","12,000","4","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","43.2","202102","6","15,000","3","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","48.6","202102","8","15,000","4","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","48.6","202102","18","17,000","4","1986","고강로154번길 27",""
"경기도 부천시 고강동","249","0249","0000","고강3차","48.6","202102","24","16,400","3","1986","고강로154번길 27",""
"경기도 부천시 고강동","418-3","0418","0003","네모하우스","63.57","202101","13","32,900","6","2020","역곡로472번길 157",""
"경기도 부천시 고강동","418-3","0418","0003","네모하우스","65.01","202101","23","33,900","2","2020","역곡로472번길 157",""
"경기도 부천시 고강동","309-2","0309","0002","대진","47.79","202102","4","17,500","1","1991","고강로72번길 51-16",""
"경기도 부천시 고강동","309-2","0309","0002","대진","42.84","202102","15","16,000","5","1991","고강로72번길 51-16",""
