시군구,번지,단지명,전용면적,거래금액
경기도 부천시 고강동,409-1,가야,43.94,"12,000"
경기도 부천시 고강동,409-1,가야,48.87,"13,800"
경기도 부천시 고강동,307,건우,48.18,"17,900"
경기도 부천시 고강동,307,건우,48.9,"18,000"
경기도 부천시 고강동,307,건우,48.18,"18,000"
경기도 부천시 고강동,307,건우,48.9,"18,500"
경기도 부천시 고강동,246-2,고강1차,47.7,"15,700"
경기도 부천시 고강동,246-2,고강1차,71.46,"26,000"
경기도 부천시 고강동,246-2,고강1차,44.73,"15,900"
경기도 부천시 고강동,246-2,고강1차,71.46,"27,000"
경기도 부천시 고강동,246-2,고강1차,44.73,"17,000"
경기도 부천시 고강동,246-2,고강1차,47.7,"17,000"
경기도 부천시 고강동,246-2,고강1차,44.73,"16,000"
경기도 부천시 고강동,246-2,고강1차,47.7,"17,800"
경기도 부천시 고강동,246-2,고강1차,71.46,"26,800"
경기도 부천시 고강동,246-2,고강1차,44.73,"16,500"
경기도 부천시 고강동,246-2,고강1차,44.73,"16,000"
경기도 부천시 고강동,246-5,고강2차,56.61,"19,400"
경기도 부천시 고강동,246-5,고강2차,47.7,"15,300"
경기도 부천시 고강동,249,고강3차,43.2,"13,300"
경기도 부천시 고강동,249,고강3차,43.2,"15,000"
경기도 부천시 고강동,249,고강3차,59.4,"20,000"
경기도 부천시 고강동,249,고강3차,56.7,"18,300"
경기도 부천시 고강동,249,고강3차,43.2,"12,000"
경기도 부천시 고강동,249,고강3차,43.2,"15,000"
경기도 부천시 고강동,249,고강3차,48.6,"15,000"
경기도 부천시 고강동,249,고강3차,48.6,"17,000"
경기도 부천시 고강동,249,고강3차,48.6,"16,400"
경기도 부천시 고강동,418-3,네모하우스,63.57,"32,900"
경기도 부천시 고강동,418-3,네모하우스,65.01,"33,900"
경기도 부천시 고강동,309-2,대진,47.79,"17,500"
경기도 부천시 고강동,309-2,대진,42.84,"16,000"
경기도 부천시 고강동,306,동광모닝스카이1차,84.98,"42,800"
경기도 부천시 고강동,305-13,동광모닝스카이2차,84.98,"42,500"
경기도 부천시 고강동,327-7,동문미도(327-7),51.3,"20,000"
경기도 부천시 고강동,327-7,동문미도(327-7),51.3,"22,000"
경기도 부천시 고강동,327-7,동문미도(327-7),59.4,"24,000"
경기도 부천시 고강동,327-7,동문미도(327-7),51.3,"23,000"
경기도 부천시 고강동,327-7,동문미도(327-7),59.4,"16,500"
경기도 부천시 고강동,364,동원(364),54.54,"17,000"
경기도 부천시 고강동,364,동원(364),42.34,"12,100"
경기도 부천시 고강동,364,동원(364),39.64,"16,000"
경기도 부천시 고강동,364,동원(364),39.64,"16,000"
경기도 부천시 고강동,364,동원(364),39.64,"15,900"
경기도 부천시 고강동,364,동원(364),39.64,"16,000"
경기도 부천시 고강동,362,리젤펠리스APT,48.14,"24,000"
경기도 부천시 고강동,304-3,부강1차,46.8,"15,900"
경기도 부천시 고강동,304-3,부강1차,49.08,"17,600"
경기도 부천시 고강동,304-3,부강1차,49.08,"20,000"
경기도 부천시 고강동,303-2,부강2차,36.9,"13,500"
경기도 부천시 고강동,292-6,부촌1차,38.27,"16,000"
경기도 부천시 고강동,292-6,부촌1차,38.27,"16,000"
경기도 부천시 고강동,292-8,부촌2차,48.15,"16,000"
경기도 부천시 고강동,292-8,부촌2차,38.27,"17,000"
경기도 부천시 고강동,292-8,부촌2차,48.15,"20,000"
경기도 부천시 고강동,333-2,삼두,44.91,"14,000"
경기도 부천시 고강동,333-2,삼두,54.36,"18,200"
경기도 부천시 고강동,333-2,삼두,54.36,"15,000"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"14,500"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"12,500"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"14,800"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"15,200"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"15,900"
경기도 부천시 고강동,389-1,삼우(389-1),42.03,"15,300"
경기도 부천시 고강동,396,삼우(396),38.97,"15,000"
경기도 부천시 고강동,396,삼우(396),38.97,"17,000"
경기도 부천시 고강동,396,삼우(396),46.26,"16,500"
경기도 부천시 고강동,372-18,삼원,56.44,"19,000"
경기도 부천시 고강동,380,상우(380),55.12,"17,000"
경기도 부천시 고강동,380,상우(380),52.66,"17,500"
경기도 부천시 고강동,411-2,상우(411-2),40.88,"13,500"
경기도 부천시 고강동,411-2,상우(411-2),51.74,"13,800"
경기도 부천시 고강동,411-2,상우(411-2),40.88,"12,500"
경기도 부천시 고강동,411-2,상우(411-2),51.74,"14,200"
경기도 부천시 고강동,397,새보미,47.61,"14,800"
경기도 부천시 고강동,397,새보미,47.61,"15,000"
경기도 부천시 고강동,416-5,서울,46.62,"11,500"
경기도 부천시 고강동,416-5,서울,46.62,"13,000"
경기도 부천시 고강동,416-5,서울,46.62,"12,000"
경기도 부천시 고강동,333-3,서원,52.38,"18,900"
경기도 부천시 고강동,407-6,선우,47.43,"17,000"
경기도 부천시 고강동,407-6,선우,43.8,"15,000"
경기도 부천시 고강동,382-2,아테온 아파트,69.49,"41,800"
경기도 부천시 고강동,333,오화,46.54,"15,000"
경기도 부천시 고강동,327-3,유호,47.78,"13,900"
경기도 부천시 고강동,425-25,윤성,59.31,"16,000"
경기도 부천시 고강동,378,인성,50.57,"17,000"
경기도 부천시 고강동,378,인성,40.95,"16,000"
경기도 부천시 고강동,378,인성,56.61,"17,200"
경기도 부천시 고강동,327,장미,59.58,"20,000"
경기도 부천시 고강동,391-1,진영,40.17,"10,000"
경기도 부천시 고강동,328,청광플러스원,84.91,"40,000"
경기도 부천시 고강동,367,현대,60.22,"18,000"
경기도 부천시 고강동,367,현대,45.28,"16,700"
경기도 부천시 고강동,367,현대,45.28,"15,400"
경기도 부천시 고강동,367,현대,60.22,"19,500"
경기도 부천시 고강동,409-5,홍익,48.45,"15,900"
경기도 부천시 고강동,409-5,홍익,33.54,"14,000"
경기도 부천시 고강동,409-5,홍익,48.45,"18,400"
경기도 부천시 괴안동,161-24,DH벨트라움(161-24번지),59.4345,"31,500"
경기도 부천시 괴안동,161-24,DH벨트라움(161-24번지),59.205,"35,000"
경기도 부천시 괴안동,171-8,거산,67.38,"31,000"
경기도 부천시 괴안동,73-2,국경,42.24,"10,600"
경기도 부천시 괴안동,73-2,국경,39.36,"12,500"
경기도 부천시 괴안동,168-2,글래드빌,70.23,"41,500"
경기도 부천시 괴안동,129,네오빌,27.26,"11,950"
경기도 부천시 괴안동,70-6,대명 베르디움아파트,69.63,"36,900"
경기도 부천시 괴안동,120-12,대성,41.76,"13,600"
경기도 부천시 괴안동,171-6,대진,65.43,"34,300"
경기도 부천시 괴안동,171-6,대진,60.21,"29,500"
경기도 부천시 괴안동,171-6,대진,55.98,"30,000"
경기도 부천시 괴안동,104-3,대현부안,47.49,"13,500"
경기도 부천시 괴안동,106-1,대현청실,55.08,"33,000"
경기도 부천시 괴안동,106-1,대현청실,49.68,"33,000"
